99501,AK,"800 Ingra St","Anchorage"
99507,AK,"5855 Lake Otis Pkwy","Anchorage"
99521,AK,"Error","Error"
99509,AK,"Error","Error"
99503,AK,"Error","Error"
99502,AK,"Error","Error"
99505,AK,"724 Quartermaster Rd","Joint Base Elmendorf-Richardson"
99508,AK,"801 Northway Dr","Anchorage"
99515,AK,"1221 Huffman Park Dr","Anchorage"
99506,AK,"10437 Kuter Ave","Anchorage"
99510,AK,"Error","Error"
99519,AK,"Not Found","Not Found"
99504,AK,"Error","Error"
99517,AK,"Error","Error"
99516,AK,"Not Found","Not Found"
99514,AK,"Not Found","Not Found"
99518,AK,"Not Found","Not Found"
99511,AK,"Not Found","Not Found"
99513,AK,"Not Found","Not Found"
99520,AK,"Not Found","Not Found"
99522,AK,"Not Found","Not Found"
99530,AK,"4141 Postmark Dr","Anchorage"
99523,AK,"Not Found","Not Found"
99524,AK,"Not Found","Not Found"
99546,AK,"Not Found","Not Found"
99545,AK,"Not Found","Not Found"
99529,AK,"Not Found","Not Found"
99540,AK,"Not Found","Not Found"
99549,AK,"Not Found","Not Found"
99550,AK,"Not Found","Not Found"
99548,AK,"Not Found","Not Found"
99547,AK,"Not Found","Not Found"
99551,AK,"500 Phillips St","Akiachak"
99553,AK,"Not Found","Not Found"
99555,AK,"Not Found","Not Found"
99552,AK,"Not Found","Not Found"
99554,AK,"500 Anderson St","Alakanuk"
99556,AK,"33790 Sterling Hwy","Anchor Point"
99565,AK,"100 Airport Dr","Chignik Lagoon"
99564,AK,"101 Main St","Chignik"
99557,AK,"101 Boundary Ave","Aniak"
99561,AK,"Not Found","Not Found"
99559,AK,"1484 Chief Eddie Hoffman Hwy","Bethel"
99558,AK,"Error","Error"
99566,AK,"400 D St","Chitina"
99563,AK,"Not Found","Not Found"
99569,AK,"Not Found","Not Found"
99574,AK,"Not Found","Not Found"
99576,AK,"114 D St","Dillingham"
99573,AK,"Not Found","Not Found"
99567,AK,"Error","Error"
99568,AK,"Error","Error"
99571,AK,"Error","Error"
99572,AK,"Error","Error"
99575,AK,"Error","Error"
99577,AK,"11471 Business Blvd","Eagle River"
99510,AK,"Error","Error"
99578,AK,"Error","Error"
99579,AK,"Error","Error"
99580,AK,"Error","Error"
99581,AK,"Error","Error"
99585,AK,"Error","Error"
99583,AK,"Error","Error"
99586,AK,"Error","Error"
99587,AK,"Error","Error"
99588,AK,"Error","Error"
99589,AK,"Error","Error"
99590,AK,"Error","Error"
99612,AK,"Error","Error"
99591,AK,"Error","Error"
99599,AK,"Error","Error"
99602,AK,"Error","Error"
99619,AK,"Error","Error"
99603,AK,"Error","Error"
99604,AK,"Error","Error"
99605,AK,"Error","Error"
99606,AK,"Error","Error"
99607,AK,"Error","Error"
99608,AK,"Error","Error"
99630,AK,"Error","Error"
99609,AK,"Error","Error"
99611,AK,"Not Found","Not Found"
99615,AK,"Not Found","Not Found"
99613,AK,"Not Found","Not Found"
99610,AK,"Not Found","Not Found"
99622,AK,"Error","Error"
99626,AK,"Error","Error"
99628,AK,"Error","Error"
99629,AK,"Error","Error"
99631,AK,"Error","Error"
99625,AK,"Error","Error"
99621,AK,"Error","Error"
99624,AK,"Error","Error"
99623,AK,"Error","Error"
99627,AK,"Error","Error"
99614,AK,"Error","Error"
99620,AK,"Error","Error"
99635,AK,"Error","Error"
99634,AK,"Error","Error"
99644,AK,"Error","Error"
99641,AK,"Error","Error"
99647,AK,"Error","Error"
99637,AK,"Error","Error"
99649,AK,"Error","Error"
99643,AK,"Error","Error"
99638,AK,"Error","Error"
99653,AK,"Error","Error"
99650,AK,"Error","Error"
99639,AK,"Error","Error"
99645,AK,"Error","Error"
99636,AK,"Error","Error"
99632,AK,"Error","Error"
99651,AK,"Error","Error"
99652,AK,"Error","Error"
99640,AK,"Error","Error"
99648,AK,"Error","Error"
99633,AK,"Error","Error"
99654,AK,"Error","Error"
99655,AK,"Error","Error"
99656,AK,"Error","Error"
99659,AK,"Error","Error"
99657,AK,"Error","Error"
99658,AK,"Error","Error"
99661,AK,"Error","Error"
99663,AK,"Error","Error"
99662,AK,"Error","Error"
99660,AK,"Error","Error"
99665,AK,"Error","Error"
99666,AK,"Error","Error"
99667,AK,"Error","Error"
99664,AK,"Error","Error"
99668,AK,"Error","Error"
99671,AK,"Error","Error"
99669,AK,"Error","Error"
99672,AK,"Error","Error"
99674,AK,"Error","Error"
99676,AK,"Error","Error"
99675,AK,"Error","Error"
99670,AK,"Error","Error"
99677,AK,"Error","Error"
99680,AK,"Error","Error"
99679,AK,"Error","Error"
99681,AK,"Error","Error"
99682,AK,"Error","Error"
99683,AK,"Error","Error"
99678,AK,"Error","Error"
99684,AK,"Error","Error"
99685,AK,"Error","Error"
99686,AK,"Error","Error"
99689,AK,"Error","Error"
99693,AK,"Error","Error"
99688,AK,"Error","Error"
99687,AK,"Error","Error"
99691,AK,"Error","Error"
99694,AK,"Error","Error"
99692,AK,"Error","Error"
99690,AK,"Error","Error"
99697,AK,"Error","Error"
99695,AK,"Error","Error"
99702,AK,"Error","Error"
99701,AK,"Error","Error"
99704,AK,"Error","Error"
99707,AK,"Error","Error"
99705,AK,"Error","Error"
99706,AK,"Error","Error"
99709,AK,"Error","Error"
99708,AK,"Error","Error"
99712,AK,"Error","Error"
99703,AK,"Error","Error"
99710,AK,"Error","Error"
99711,AK,"Error","Error"
99714,AK,"Error","Error"
99716,AK,"Error","Error"
99721,AK,"Error","Error"
99720,AK,"Error","Error"
99734,AK,"Not Found","Not Found"
99729,AK,"Not Found","Not Found"
99743,AK,"9998 Coal St","Healy"
99740,AK,"Not Found","Not Found"
99737,AK,"266 Richardson Hwy","Delta Junction"
99731,AK,"Not Found","Not Found"
99726,AK,"1 Front St","Bettles"
99730,AK,"128 Steese Hwy","Central"
99738,AK,"200 Jefferson St","Eagle"
99725,AK,"Not Found","Not Found"
99723,AK,"3080 Eben Hobson St","Utqiagvik"
99722,AK,"Error","Error"
99724,AK,"Error","Error"
99732,AK,"Error","Error"
99741,AK,"Error","Error"
99739,AK,"Error","Error"
99733,AK,"Error","Error"
99727,AK,"Error","Error"
99736,AK,"Error","Error"
99742,AK,"Error","Error"
99744,AK,"Not Found","Not Found"
99753,AK,"Not Found","Not Found"
99749,AK,"Not Found","Not Found"
99747,AK,"Not Found","Not Found"
99750,AK,"Not Found","Not Found"
99757,AK,"Not Found","Not Found"
99751,AK,"Not Found","Not Found"
99754,AK,"Not Found","Not Found"
99752,AK,"333 Shore Ave","Kotzebue"
99758,AK,"Not Found","Not Found"
99755,AK,"Not Found","Not Found"
99746,AK,"Not Found","Not Found"
99756,AK,"Not Found","Not Found"
99745,AK,"Error","Error"
99748,AK,"Error","Error"
99759,AK,"Not Found","Not Found"
99760,AK,"803 Market St","Nenana"
99761,AK,"Not Found","Not Found"
99762,AK,"Not Found","Not Found"
